"","lemme","freqlemfilms2","nb_lettres","anagramme"
"109","apporter",209.91,8,"aoprretp"
"110","décider",207.76,7,"ciréedd"
"111","vendre",206.95,6,"envred"
"112","tourner",204.15,7,"rtorune"
"113","cacher",204.13,6,"cahcer"
"114","expliquer",200.93,9,"euxiplqre"
"115","battre",200.35,6,"ratbet"
"116","agir",195.94,4,"iagr"
"117","imaginer",194.29,8,"rmeingia"
"118","adorer",193.67,6,"oeradr"
"119","recevoir",192.73,8,"eirvoerc"
"120","jeter",192.18,5,"jteer"
"121","pleurer",191.64,7,"reerupl"
"122","amener",190.32,6,"aemren"
"123","promettre",185.26,9,"rrtpmtoee"
"124","mentir",185.16,6,"ntrime"
"125","utiliser",182.44,8,"ltersuii"
"126","coucher",181.96,7,"hcoceur"
"127","préférer",179.44,8,"rérepéfr"
"128","offrir",177.8,6,"forirf"
"129","réveiller",175.94,9,"elréelriv"
"130","préparer",174.33,8,"eprrparé"
"131","permettre",172.86,9,"meretptre"
"132","ramener",172.7,7,"rraeenm"
"133","enlever",172.47,7,"ernveel"
"134","lâcher",171.08,6,"eâcrlh"
"135","choisir",170.48,7,"coshiir"
"136","conduire",169.64,8,"eouncrdi"
"137","calmer",168.54,6,"creaml"
"138","chanter",166.34,7,"nahtcre"
"139","disparaître",166.13,11,"rîipsdatrae"
"140","lever",165.98,5,"lreve"
"141","présenter",165.88,9,"teréepnrs"
"142","accepter",165.84,8,"etarcecp"
"143","revoir",162.84,6,"reivor"
"144","casser",160.61,6,"sscare"
"145","frapper",160.04,7,"reapfrp"
"146","ignorer",156.55,7,"norregi"
"147","couper",155.82,6,"couepr"
"148","taire",154.46,5,"teiar"
"149","tromper",149.09,7,"temrorp"
"150","ressembler",148.62,10,"breelmsres"
"151","jurer",148.41,5,"jurre"
"152","courir",146.5,6,"ucorir"
"153","remettre",144.99,8,"meeerrtt"
"154","refuser",143.96,7,"urrfees"
"155","terminer",142.38,8,"remrnite"
"156","amuser",141.41,6,"aumsre"
"157","intéresser",140.8,10,"stsnrieeré"
"158","reconnaître",140.73,11,"eanretcorîn"
"159","rire",140.24,4,"erir"
"160","pardonner",139.46,9,"raoedrnpn"
"161","embrasser",138.97,9,"seaemrbrs"
"162","danser",137.36,6,"dsnear"
"163","exister",136.24,7,"tsxreei"
"164","réussir",131.88,7,"érsursi"
"165","protéger",130.71,8,"gétporre"
"166","prévenir",129.28,8,"pvenrréi"
"167","habiter",128.3,7,"behrita"
"168","déranger",126.95,8,"gdéeanrr"
"169","reprendre",126.92,9,"dnrrpeeer"
"170","détruire",126.08,8,"ueértrid"
"171","pousser",125.61,7,"poruess"
"172","découvrir",124.2,9,"uéirvrodc"
"173","sauter",123.03,6,"esatur"
"174","rêver",122.95,5,"rêrve"
"175","détester",122.87,8,"rdteesét"
"176","paraître",122.14,8,"arrtîepa"
"177","empêcher",121.85,8,"rmpeecêh"
"178","maintenir",121.32,9,"ainmteinr"
"179","supposer",120.31,8,"oesurpsp"
"180","épouser",118.78,7,"prséuoe"
"181","approcher",117.65,9,"hrepaprco"
"182","craindre",117.44,8,"arcinred"
"183","crier",116.94,5,"erric"
"184","inviter",116.83,7,"eviirnt"
"185","réfléchir",116.71,9,"fcérlérih"
"186","arranger",116.14,8,"aragernr"
"187","naître",116.11,6,"nîrtae"
"188","souffrir",113.83,8,"ufiofsrr"
"189","remercier",113.7,9,"mceiererr"
"190","baiser",112.82,6,"raisbe"
"191","attraper",112.52,8,"petarrat"
"192","dépêcher",111.44,8,"êprdehcé"
"193","abandonner",110.87,10,"bnareonnda"
"194","vérifier",110.87,8,"féiirrev"
"195","brûler",110.28,6,"breûrl"
"196","assurer",107.71,7,"uraress"
"197","traiter",104.04,7,"raetitr"
"198","blesser",103.74,7,"srslbee"
"199","dégager",102.47,7,"dggearé"
"200","filer",100.97,5,"lrief"
"201","risquer",100.4,7,"urqrise"
"202","mener",99.86,5,"merne"
"203","attaquer",99.63,8,"aqtrueta"
"204","fumer",98.49,5,"uremf"
"205","répéter",98.31,7,"érperté"
"206","signer",98.19,6,"sgerin"
"207","ficher",97.84,6,"ciefrh"
"208","mériter",97.06,7,"émrerit"
"209","rejoindre",96.98,9,"rdnoeejir"
"210","discuter",96.42,8,"itserdcu"
"211","avancer",95.62,7,"caaenvr"
"212","reposer",95.2,7,"soeprre"
"213","échapper",95.07,8,"rcepéhap"
"214","charger",93.02,7,"rhcreag"
"215","obliger",91.63,7,"rlebgio"
"216","accompagner",90.56,11,"oaepncmrgac"
"217","oser",90.2,4,"oers"
"218","regretter",89.11,9,"etrgrtere"
"219","prouver",88.83,7,"pevruro"
"220","couvrir",88.29,7,"ourirvc"
"221","obtenir",88.08,7,"nrtebio"
"222","éviter",87.47,6,"éevrit"
"223","plaisanter",87.13,10,"sieaarpltn"
"224","virer",86.3,5,"rrvei"
"225","supporter",86.04,9,"urtperops"
"226","régler",85.81,6,"égrler"
"227","souhaiter",85.59,9,"reshaitou"
"228","créer",85.17,5,"eécrr"
"229","surveiller",84.82,10,"relsvreliu"
"230","recommencer",84.69,11,"ercnmreoecm"
"231","coûter",83.15,6,"etoûrc"
"232","parier",81.96,6,"rarepi"
"233","appartenir",80.57,10,"rnetaaiprp"
"234","remarquer",80.56,9,"rreqrueam"
"235","rater",80.45,5,"aetrr"
"236","retirer",80.26,7,"eiertrr"
"237","tenter",79.75,6,"rttnee"
"238","dîner",79.3,5,"drenî"
"239","partager",79.08,8,"pataerrg"
"240","ressentir",78.78,9,"srstneire"
"241","défendre",78.55,8,"edédfrne"
"242","fatiguer",78.25,8,"fargtieu"
"243","prévoir",78.22,7,"péirrov"
"244","douter",77.77,6,"rtodeu"
"245","apprécier",77.21,9,"rcrepéaip"
"246","fuir",76.82,4,"rfui"
"247","bosser",76.28,6,"sbeosr"
"248","respirer",76.08,8,"sirrepre"
"249","récupérer",75.92,9,"crérpreué"
"250","libérer",75.77,7,"libreér"
"251","lancer",75.22,6,"rnleca"
"252","durer",74.39,5,"rured"
"253","laver",74.35,5,"elvra"
"254","sonner",73.67,6,"nenosr"
"255","deviner",72.77,7,"eednvri"
"256","ravir",72.67,5,"iravr"
"257","traverser",72.26,9,"rrtreesav"
"258","retenir",71.58,7,"rrtinee"
"259","remonter",71.33,8,"rmrntoee"
"260","réaliser",71.27,8,"rliasrée"
"261","moquer",71.13,6,"remoqu"
"262","étudier",70.9,7,"ieédurt"
"263","installer",70.76,9,"iaretllns"
"264","proposer",70.02,8,"soperpro"
"265","emporter",69.02,8,"eoteprmr"
"266","engager",68.22,7,"arengge"
"267","cesser",68.11,6,"csesre"
"268","signifier",67.72,9,"gsfeiirin"
"269","réparer",67.7,7,"erprréa"
"270","construire",67.59,10,"ierucstonr"
"271","chier",67.53,5,"hrice"
"272","profiter",67.2,8,"iteprorf"
"273","pleuvoir",67.17,8,"pervioul"
"274","séparer",66.22,7,"rapseér"
"275","désirer",65.63,7,"ersédir"
"276","traîner",65.49,7,"atrrîen"
"277","respecter",65.41,9,"recepters"
"278","enfuir",65.13,6,"rnuife"
"279","diriger",65.1,7,"rriegid"
"280","crever",64.95,6,"rvcere"
"281","poursuivre",64.83,10,"osivreurpu"
"282","forcer",64.64,6,"froecr"
"283","grandir",63.99,7,"idrgnra"
"284","interdire",63.72,9,"ritednrei"
"285","baisser",63.69,7,"ssaebri"
"286","enterrer",63.68,8,"rrtneree"
"287","causer",63.66,6,"acsrue"
"288","survivre",63.62,8,"rrevuvis"
"289","commander",63.49,9,"eordacnmm"
"290","ennuyer",62.48,7,"uneyrne"
"291","prêter",62,6,"prtrêe"
"292","nettoyer",61.95,8,"totnreey"
"293","atteindre",61.83,9,"reiaedntt"
"294","rouler",61.82,6,"uroerl"
"295","débarrasser",61.77,11,"drséarbears"
"296","avouer",61.56,6,"ruoeav"
"297","plaindre",61.25,8,"enlpaird"
"298","remplir",61.21,7,"pelmirr"
"299","contrôler",61.13,9,"lerncôotr"
"300","taper",61.07,5,"tpaer"
"301","téléphoner",60.49,10,"ééotnelrhp"
"302","dépendre",60.33,8,"pdneerdé"
"303","parfaire",60.06,8,"irfrapae"
"304","renvoyer",59.22,8,"oyvreren"
"305","repartir",58.84,8,"rrpratie"
"306","enfermer",58.81,8,"nrmferee"
"307","habiller",58.27,8,"hlirabel"
"308","refaire",58.27,7,"arerife"
"309","gêner",57.76,5,"êenrg"
"310","éteindre",57.32,8,"éntdiree"
"311","rapporter",56.99,9,"otpreparr"
"312","coincer",56.95,7,"eoccinr"
"313","surprendre",56.8,10,"sdrrpuerne"
"314","convaincre",56.71,10,"cnieravcon"
"315","livrer",56.53,6,"lrervi"
"316","juger",56.12,5,"ujgre"
"317","annoncer",55.67,8,"nnnaeorc"
"318","haïr",55.42,4,"ïrah"
"319","briser",55.2,6,"rerbis"
"320","chasser",54.93,7,"hsescar"
"321","attirer",54.91,7,"treriat"
"322","allumer",54.8,7,"merulla"
"323","écraser",54.42,7,"csréare"
"324","arracher",54.19,8,"ahcrrear"
"325","sourire",53.97,7,"rrsuoei"
"326","inventer",53.96,8,"eneritvn"
"327","mêler",53.84,5,"êreml"
"328","énerver",53.83,7,"érerevn"
"329","exploser",53.79,8,"sexoeplr"
"330","supplier",53.66,8,"uppeilrs"
"331","étonner",53.63,7,"oenéntr"
"332","déposer",53.09,7,"rsepoéd"
"333","placer",52.94,6,"prcela"
"334","remplacer",52.84,9,"eeamrlrcp"
"335","accuser",52.72,7,"ruacecs"
"336","nourrir",52.53,7,"urirrno"
"337","presser",52.28,7,"eperssr"
"338","accorder",52.27,8,"daccrroe"
"339","emmerder",52.18,8,"demeremr"
"340","reculer",52.15,7,"ureeclr"
"341","élever",52.03,6,"vrélee"
"342","accrocher",51.56,9,"ceraoccrh"
"343","coller",51.31,6,"ollrce"
"344","serrer",50.99,6,"rrseer"
"345","entraîner",50.68,9,"reaetnîrn"
"346","piquer",50.06,6,"epiuqr"
"347","admettre",50.05,8,"tdtearem"
"348","produire",49.81,8,"prieorud"
"349","menacer",49.63,7,"aneemrc"
"350","gâcher",49.57,6,"ârgche"
"351","concerner",49.31,9,"nccrnroee"
"352","représenter",48.78,11,"ensrrprétee"
"353","bénir",48.77,5,"rébni"
"354","endormir",48.19,8,"dormnrei"
"355","louer",48.08,5,"eluor"
"356","soigner",48.04,7,"isregon"
"357","organiser",47.9,9,"agrrieosn"
"358","ranger",47.67,6,"gaerrn"
"359","couler",47.56,6,"recoul"
"360","rigoler",47.56,7,"leorigr"
"361","commettre",47.45,9,"retemomct"
"362","trahir",46.83,6,"arhitr"
"363","débrouiller",46.72,11,"drréloliebu"
"364","fâcher",46.63,6,"hrfeâc"
"365","attacher",46.37,8,"tatrehac"
"366","joindre",46.37,7,"oerjdin"
"367","voyager",45.74,7,"yagvoer"
"368","nommer",45.6,6,"noemmr"
"369","rechercher",45.51,10,"hcreerehcr"
"370","obéir",45.12,5,"biroé"
"371","saluer",45.09,6,"uraesl"
"372","mordre",44.85,6,"rmroed"
"373","guérir",44.73,6,"guriré"
"374","détendre",44.39,8,"éereddnt"
"375","interroger",44.31,10,"irrorenetg"
"376","faillir",44.19,7,"ralliif"
"377","condamner",44.15,9,"cramdonen"
"378","apparaître",43.78,10,"arrpateaîp"
"379","marquer",43.78,7,"rreqmau"
"380","ramasser",43.76,8,"rsmasaer"
"381","abattre",43.47,7,"batrtae"
"382","considérer",43,10,"ecsrnoriéd"
"383","pendre",42.99,6,"neerpd"
"384","combattre",42.89,9,"tbamretco"
"385","posséder",42.76,8,"seséordp"
"386","bouffer",42.72,7,"uerffob"
"387","observer",42.66,8,"sreverob"
"388","dépasser",42.62,8,"péresdas"
"389","fonctionner",42.51,11,"inocentrfno"
"390","fouiller",42.37,8,"efrloliu"
"391","goûter",42.27,6,"ûtgero"
"392","insister",42.16,8,"snteirsi"
"393","transformer",42.15,11,"nfsroemartr"
"394","annuler",42.11,7,"nrlaneu"
"395","réunir",41.93,6,"éurirn"
"396","piger",41.77,5,"erigp"
"397","punir",41.7,5,"inrup"
"398","renoncer",41.65,8,"neecrorn"
"399","déclarer",41.59,8,"leacdrré"
"400","confier",41.5,7,"eircnfo"
"401","rompre",41.37,6,"meporr"
"402","éclater",41.33,7,"reltéac"
"403","éloigner",41.15,8,"ngoreéil"
"404","allonger",41.05,8,"ralgleon"
"405","appuyer",40.95,7,"peauyrp"
"406","résoudre",40.95,8,"rueéords"
"407","fabriquer",40.37,9,"ufreqbari"
"408","balancer",40.12,8,"blaeracn"
"409","filmer",40.08,6,"ierlmf"
"410","déconner",39.86,8,"eondcérn"
"411","voiler",39.78,6,"ioervl"
"412","former",39.69,6,"erormf"
"413","concentrer",39.58,10,"reoncetnrc"
"414","relever",39.49,7,"eleerrv"
"415","violer",39.43,6,"lroiev"
"416","disputer",39.31,8,"epdsiutr"
"417","pisser",39.03,6,"sisper"
"418","contacter",38.96,9,"rctcntoae"
"419","résister",38.91,8,"tssrireé"
"420","ajouter",38.88,7,"otauerj"
"421","convenir",38.82,8,"vicorenn"
"422","déplacer",38.63,8,"erpédacl"
"423","bloquer",38.62,7,"ubleqro"
"424","identifier",38.52,10,"etinrfedii"
"425","veiller",38.41,7,"llrivee"
"426","rattraper",38.32,9,"rrpeatatr"
"427","planter",38.29,7,"anrplte"
"428","viser",38.03,5,"eivsr"
"429","promener",37.8,8,"mreroepn"
"430","venger",37.73,6,"rneevg"
"431","informer",37.42,8,"rnomrfie"
"432","lier",37.17,4,"erli"
"433","effrayer",37.04,8,"frreeyfa"
"434","fêter",36.97,5,"frête"
"435","saisir",36.81,6,"aisirs"
"436","impliquer",36.8,9,"elrpiiumq"
"437","ordonner",36.73,8,"rnrdneoo"
"438","indiquer",36.49,8,"uneiridq"
"439","examiner",36.36,8,"rxaeniem"
"440","puer",36.29,4,"erpu"
"441","peindre",36.05,7,"ndeprie"
"442","avaler",35.89,6,"aarlev"
"443","démarrer",35.67,8,"rreamédr"
"444","prétendre",35.63,9,"prdrneteé"
"445","soutenir",35.56,8,"esoniurt"
"446","déjeuner",35.43,8,"eujrneéd"
"447","exiger",34.96,6,"exrgie"
"448","visiter",34.92,7,"istierv"
"449","saigner",34.86,7,"irsenga"
"450","glisser",34.75,7,"slisgre"
"451","apercevoir",34.56,10,"eropacrvie"
"452","réserver",34.31,8,"eérrvesr"
"453","provoquer",34.19,9,"orqvrpuoe"
"454","trembler",34.13,8,"emerltbr"
"455","embêter",33.91,7,"emtbêer"
"456","confirmer",33.8,9,"foemicnrr"
"457","participer",33.56,10,"rpcepirtai"
"458","décevoir",33.23,8,"idcerové"
"459","réagir",33.19,6,"éagirr"
"460","hurler",33.17,6,"eulrrh"
"461","enregistrer",33.07,11,"rertenriegs"
"462","fixer",32.73,5,"frxei"
"463","révéler",32.7,7,"vréréel"
"464","déménager",32.4,9,"dréngeamé"
"465","admirer",32.39,7,"irmread"
"466","conseiller",32.11,10,"lceseironl"
"467","accueillir",31.98,10,"ecrciiaull"
"468","enseigner",31.98,9,"segrnenie"
"469","plonger",31.96,7,"prlegno"
"470","habituer",31.89,8,"aeuihrtb"
"471","buter",31.86,5,"uetrb"
"472","péter",31.66,5,"eéptr"
"473","emprunter",31.3,9,"rmtrunepe"
"474","noter",31.24,5,"rteno"
"475","verser",31.2,6,"rsevre"
"476","dépenser",31.1,8,"reendéps"
"477","assassiner",30.87,10,"isnssrsaea"
"478","avertir",30.8,7,"rvreati"
"479","affronter",30.72,9,"ntorraeff"
"480","adresser",30.71,8,"esdrsrae"
"481","vider",30.68,5,"iverd"
"482","échouer",30.62,7,"eoréhcu"
"483","assister",30.57,8,"iasssetr"
"484","parer",30.5,5,"rearp"
"485","nager",30.36,5,"grnae"
"486","autoriser",30.28,9,"reiutsora"
"487","éliminer",30.28,8,"eimnlréi"
"488","foncer",30.27,6,"eocfnr"
"489","subir",30.13,5,"isbru"
"490","suicider",30.09,8,"diecsuir"
"491","contenir",30.07,8,"cieonrnt"
"492","hésiter",30.06,7,"rhteiés"
"493","exprimer",30.02,8,"eepirxmr"
"494","dessiner",29.97,8,"iesnrdse"
"495","augmenter",29.86,9,"umgtenera"
"496","armer",29.77,5,"ramer"
"497","voter",29.61,5,"overt"
"498","opérer",29.59,6,"preéro"
"499","dénoncer",29.57,8,"énceordn"
"500","rassurer",29.25,8,"eusrarsr"
"501","contenter",29.04,9,"tonneerct"
"502","effacer",29.02,7,"frceefa"
"503","suggérer",29,8,"gergérsu"
"504","briller",28.91,7,"llbrrie"
"505","croiser",28.84,7,"ceorisr"
"506","envoler",28.82,7,"evrenol"
"507","raser",28.54,5,"srear"
"508","étouffer",28.5,8,"effruoté"
"509","tarder",28.36,6,"erdrta"
"510","souffler",28.33,8,"flserfou"
"511","décrire",28.31,7,"iéercdr"
"512","raccrocher",28.09,10,"ocachercrr"
"513","exciter",28.01,7,"xrcetie"
"514","cracher",27.93,7,"rachrec"
"515","signaler",27.92,8,"sleirang"
"516","réduire",27.88,7,"éudreir"
"517","vaincre",27.84,7,"evricna"
"518","rembourser",27.71,10,"rserbuomre"
"519","gérer",27.51,5,"greér"
"520","divorcer",27.5,8,"rdirecov"
"521","interrompre",27.47,11,"mrionrpeetr"
"522","échanger",27.38,8,"eancgéhr"
"523","noyer",27.29,5,"yneor"
"524","conclure",27.26,8,"uoencrlc"
"525","repérer",27.23,7,"réperer"
"526","garer",27.16,5,"errga"
"527","cuisiner",27.13,8,"rsnciuei"
"528","cogner",27.01,6,"ecrgno"
"529","exagérer",26.93,8,"aegrxeér"
"530","insulter",26.93,8,"steiruln"
"531","repasser",26.91,8,"earsreps"
"532","atterrir",26.73,8,"rrrettia"
"533","barrer",26.71,6,"aberrr"
"534","méfier",26.68,6,"rieémf"
"535","tendre",26.63,6,"endrte"
"536","inspirer",26.56,8,"rnpieirs"
"537","embarquer",26.49,9,"rmaeruqbe"
"538","déchirer",26.46,8,"rdiécehr"
"539","baigner",26.42,7,"nabregi"
"540","épargner",26.39,8,"paneégrr"
"541","établir",26.38,7,"értlaib"
"542","vomir",26.12,5,"iomrv"
"543","rassembler",25.99,10,"ebsaerslrm"
"544","raccompagner",25.9,12,"moercnapgrac"
"545","comparer",25.84,8,"aorpemcr"
"546","fournir",25.67,7,"rruinof"
"547","sacrifier",25.67,9,"rrcieisaf"
"548","débarquer",25.66,9,"burarédeq"
"549","torturer",25.55,8,"ortrteru"
"550","pointer",25.45,7,"topenri"
"551","inscrire",25.41,8,"rienrisc"
"552","lutter",25.41,6,"rlttue"
"553","épuiser",25.41,7,"éeprsiu"
"554","rapprocher",25.18,10,"rpaerpochr"
"555","sacrer",25.16,6,"srcaer"
"556","unir",25.15,4,"ruin"
"557","creuser",25.11,7,"crrusee"
"558","satisfaire",25.1,10,"earstsfaii"
"559","transmettre",25.09,11,"trsetatnmre"
"560","exécuter",25.02,8,"cxeétreu"
"561","accomplir",25,9,"paclocirm"
"562","décrocher",25,9,"ccorréehd"
"563","prononcer",24.99,9,"rrconnepo"
"564","impressionner",24.98,13,"prserenioismn"
"565","nier",24.86,4,"erin"
"566","écarter",24.83,7,"rétrcae"
"567","guider",24.79,6,"drgeui"
"568","boucler",24.61,7,"ocuebrl"
"569","comporter",24.59,9,"cmrootpre"
"570","songer",24.59,6,"ngerso"
"571","remuer",24.42,6,"ueermr"
"572","balader",24.3,7,"bdarale"
"573","témoigner",24.29,9,"eéimorntg"
"574","soulever",24.26,8,"vslruoee"
"575","céder",24.21,5,"rdecé"
"576","priver",24.06,6,"perrvi"
"577","renverser",24.02,9,"rrvsneere"
"578","entourer",23.99,8,"uenerort"
"579","correspondre",23.62,12,"corerrosedpn"
"580","imposer",23.62,7,"emprois"
"581","sucer",23.45,5,"rsuec"
"582","geler",23.41,5,"rgele"
"583","peser",23.41,5,"rsepe"
"584","éprouver",23.35,8,"ueorrépv"
"585","enfoncer",23.3,8,"nrfeneoc"
"586","rejeter",23.16,7,"errjeet"
"587","déshabiller",22.98,11,"eraillédsbh"
"588","achever",22.97,7,"vhecrae"
"589","pourrir",22.86,7,"riproru"
"590","régner",22.75,6,"gréern"
"591","parvenir",22.73,8,"enrripav"
"592","chérir",22.66,6,"écrrhi"
"593","honorer",22.65,7,"ohrnoer"
"594","repousser",22.62,9,"esosrpuer"
"595","soucier",22.45,7,"rocuies"
"596","exposer",22.42,7,"exoresp"
"597","grouiller",22.39,9,"lrgolruie"
"598","intervenir",22.39,10,"evinteinrr"
"599","améliorer",22.34,9,"oiérrlmae"
"600","compliquer",22.3,10,"irecumlqpo"
"601","bourrer",22.11,7,"rrbreuo"
"602","transporter",22.07,11,"eprransrtot"
"603","jouir",22.06,5,"rujio"
"604","saurer",22.06,6,"urraes"
"605","étendre",21.9,7,"rdeénte"
"606","piéger",21.77,6,"érpgie"
"607","chauffer",21.75,8,"rfefuahc"
"608","cuire",21.65,5,"eicur"
"609","soulager",21.57,8,"glsoraeu"
"610","pourvoir",21.48,8,"riouovrp"
"611","estimer",21.41,7,"sertemi"
"612","relâcher",21.4,8,"lrhrâcee"
"613","craquer",21.23,7,"carrque"
"614","décoller",21.15,8,"dolerécl"
"615","disposer",21.07,8,"sderspoi"
"616","publier",21.07,7,"lbrepiu"
"617","grimper",21.05,7,"preirmg"
"618","réjouir",21.02,7,"ijrouér"
"619","draguer",21,7,"regurad"
"620","réclamer",21,8,"crrelméa"
"621","tester",20.66,6,"etters"
"622","piper",20.6,5,"irppe"
"623","renseigner",20.47,10,"eerngrnsie"
"624","vieillir",20.47,8,"ivlrliie"
"625","développer",20.41,10,"lépeevpdor"
"626","ruiner",20.39,6,"unrire"
"627","répandre",20.39,8,"éradpenr"
"628","brancher",20.34,8,"raebnhcr"
"629","douer",20.29,5,"udroe"
"630","abuser",20,6,"uaebrs"
"631","reparler",19.93,8,"elearprr"
"632","soupçonner",19.88,10,"npçsurnooe"
"633","persuader",19.86,9,"ueprsraed"
"634","reprocher",19.85,9,"ercrpheor"
"635","semer",19.8,5,"emres"
"636","paniquer",19.76,8,"rauqepni"
"637","garantir",19.74,8,"agnarrit"
"638","dévorer",19.7,7,"dvréore"
"639","détacher",19.69,8,"éadethrc"
"640","enquêter",19.65,8,"nuetrqêe"
"641","mesurer",19.65,7,"ererums"
"642","empoisonner",19.62,11,"eomiepnsonr"
"643","sécher",19.49,6,"ésrche"
"644","employer",19.47,8,"lypremoe"
"645","mouiller",19.36,8,"lumireol"
"646","déclencher",19.23,10,"decrelhénc"
"647","contrer",19.15,7,"ortrenc"
"648","communiquer",19.09,11,"cqnureoiumm"
"649","pénétrer",19,8,"érterénp"
"650","secouer",19,7,"sreucoe"
"651","fréquenter",18.97,10,"erfrénqute"
"652","cingler",18.93,7,"cegrinl"
"653","franchir",18.93,8,"rraihfnc"
"654","évanouir",18.93,8,"irvunoéa"
"655","emballer",18.86,8,"bmleaelr"
"656","négocier",18.82,8,"orenéigc"
"657","démolir",18.81,7,"dimloré"
"658","planquer",18.79,8,"lqerpuan"
"659","concevoir",18.75,9,"oincvcoer"
"660","navrer",18.68,6,"vraenr"
"661","bâtir",18.65,5,"ârtib"
"662","étrangler",18.53,9,"lnretraég"
"663","consulter",18.45,9,"reultonsc"
"664","transférer",18.4,10,"réenasrtrf"
"665","dégoûter",18.39,8,"odégrûte"
"666","loger",18.36,5,"roleg"
"667","consacrer",18.27,9,"acorncser"
"668","opposer",18.2,7,"espopor"
