,Unnamed: 0,lemme,freqlemfilms2,nb_lettres,anagramme,def_1,def_2,def_3,def_4,def_5,def_6,def_7,def_8,def_9,def_10,def_11,def_12,def_13,def_14,def_15,def_16,def_17,def_18,def_19,def_20,def_21,def_22,def_23,def_24,def_25,def_26,def_27,def_28,def_29,def_30,def_31,def_32,def_33,def_34,def_35,def_36,def_37,def_38,def_39
10,11,même,402.93,4,êemm,"Qui n’est pas autre, qui n’est point différent. — Note :  Dans ce sens, il est placé devant un nom et s’emploie généralement avec l’article défini ou l’article indéfini.","Présenté souvent sous la forme : le même que, la même que, il implique une comparaison entre deux idées et marque soit l'identité, soit la ressemblance.","S’emploie sans article et se place immédiatement après un nom ou un pronom pour marquer plus expressément la personne ou la chose dont on parle. Il a alors même sens que lui-même, elle-même, eux-mêmes.","Il se met aussi après les noms qui désignent quelques qualités, pour exprimer qu’elles sont au plus haut degré dans la personne dont on parle.","Placé après le pronom qu’il modifie, il sert à insister sur la personne, sur l’identité — Note :  il est adjectif et s’accorde. Dans ce cas-là, il est lié au pronom par un trait d’union, que certains auteurs d'ailleurs suppriment aujourd'hui.","Avec le sens de : de plus, aussi, sans excepter, encore…","Avec le sens de : encore plus, au contraire, surtout placé en tête d’une proposition.","Placé devant un nom qu’il modifie dans le sens de : jusqu’à, y compris, sans excepter…","Employé comme adverbe, mais pouvant également être traité comme adjectif (même sens).","La même chose, semblable.",Le résultat de l’opération où le sens donné est le même.,(Populaire) C’est la même chose.,"l'identité de la personne à travers le temps, la permanence de sa façon d'être.","la ressemblance, la non-différence.","Associé avec du même, au même, montre ou indique que les deux personnes ou correspondants citée sont les mêmes que ceux déjà connus ou nommés.",,,,,,,,,,,,,,,,,,,,,,,,
11,12,premier,376.98,7,rpeermi,Adjectif numéral ordinal correspondant au nombre 1.,"Qui précède tous les autres par rapport au temps, au lieu, à l’ordre, à la dignité, etc.",Qui passe devant ; qui vient en avant ; qui commence d’abord.,Le meilleur ou le plus considérable.,(Par ellipse) (Familier) De première : d’une grande qualité.,N’importe quel.,Qui est indispensable ou qui est nécessaire avant tout.,"Qui avait été auparavant, qu’on avait déjà eu.",Qualifie le commencement ou l’ébauche de quelque chose.,(En particulier) Qualifie le début ou la première partie d’une ère.,Qualifie le rôle et la position hiérarchique à celui qui est le leader dans une fonction.,"(Mathématiques) (Postposé) Qualifie un nombre entier naturel qui possède seulement deux diviseurs entiers positifs distincts, l’unité et lui-même.",Celui qui précède tous les autres.,"Chef de rayon dans un magasin, vendeur qui a la responsabilité d’autres vendeurs",(Avec le) Premier jour. Note :  Les autres jours d’un mois sont appelés avec un cardinal.,Premier étage d’une maison.,Première syllabe du mot qui fait le sujet d’une charade.,"(Avec ce) La première personne ou chose des deux du même type dont on a parlées dans la phrase précédente, par opposition à ce dernier.",(Par ellipse) Premier ministre.,"(Vieilli) (Littéraire) D'abord, auparavant.","Être présenté pour la première fois en parlant d'un film, une série, une pièce de théâtre...",,,,,,,,,,,,,,,,,,
12,13,prêt,314.64,4,tprê,"Qui est en état de faire, de dire, de recevoir, d’entendre quelque chose ; qui est disposé, préparé à quelque chose.",Action de prêter :,Somme prêtée.,(Militaire) Somme allouée aux sous-officiers et aux soldats pour leurs menus besoins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,jeune,297.01,5,ejenu,"Qui est dans une phase au commencement de sa vie ou de son développement ; qui n’est guère avancé en âge, en parlant des humains, des animaux ou des végétaux.","(Parfois) Qui n’a pas l’âge habituel par rapport aux emplois, aux dignités qu’on ne donne ordinairement qu’à des hommes faits ou à des personnes déjà avancées en âge.",Qui possède des caractéristiques de la jeunesse.,"Qui a encore quelque chose de l’ardeur, de la vivacité et de l’agrément de la jeunesse.",Qui est propre à une personne dans la jeunesse.,(Familier) Qui ne sied qu’à des personnes jeunes.,"Qui est nouveau, qui n’existe que depuis récemment.","Qui manque d’expérience, de maturité ; qui est étourdi, évaporé.","(Spécialement) (Eaux & Forêts) Qualifie un taillis, des baliveaux, d’un an.",Jeune personne.,"(Spécialement) Accompagné d'un article défini ou d'un adjectif possessif, sert à interpeller un jeune pour un interlocuteur d'une autre génération. ",(Spécialement) Cadet de sa lignée.,Première personne du singulier de l’indicatif présent du verbe jeuner.,Troisième personne du singulier de l’indicatif présent du verbe jeuner.,Première personne du singulier du subjonctif présent du verbe jeuner.,Troisième personne du singulier du subjonctif présent du verbe jeuner.,Deuxième personne du singulier de l’impératif du verbe jeuner.,,,,,,,,,,,,,,,,,,,,,,
14,15,vieux,282.2,5,veixu,D’un certain âge (relatif à un autre).,"Ancien, qui existe depuis longtemps.","Apparence de la vétusté, les dehors de la vieillesse.","S’emploie avec les adverbes plus et moins, et autres semblables, pour marquer la différence d’âge entre deux personnes ou choses.","Personne qui exerce une profession, un métier, qui mène un certain genre de vie depuis longtemps.","Sert aussi à marquer les anciennes habitudes, et surtout les habitudes vicieuses.",S’emploie familièrement dans des phrases de dénigrement.,"S’emploie pour exprimer la vénération qu’inspire le nom d’un homme célèbre mort depuis longtemps, en laissant une grande renommée.",Par comparaison et opposition à nouveau.,"Choses qui sont usées, principalement des habits, des meubles, par opposition à neuf.",(Péjoratif) Personne âgée.,"Ce qui est vieux, usé.",(Argot) ou (Populaire),,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,désolé,276.66,6,odlésé,Désert ; ravagé ; triste.,(Figuré) Affligé ; éploré.,(Sens affaibli) Pour exprimer un regret ou pour présenter des excuses.,Participe passé masculin singulier de désoler.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,gros,266.95,4,gsor,Qui a beaucoup de circonférence ou de volume.,"Se dit, sans songer à la grosseur absolue, pour exprimer la grosseur relative.","Qui surpasse en étendue, en volume, en valeur, en importance, la plupart des choses de même genre.",Qui est supérieur en nombre.,Un peu plus de…,"(Figuré) Qui a de la gravité ; qui a des suites, des conséquences.",(Familier) Qui a de l'intensité.,"Grossi, enflé.",(Vieilli) Simple à comprendre.,(Figuré) D’un caractère sans finesse.,"Épais, brut","Grossier, vulgaire.","En parlant des personnes, riche, opulent ou qui opère en grand.",Qui présage un évènement redouté.,(Vieilli) ou (Vulgaire) Désigne les femmes enceintes et parfois les animaux femelles gravides.,"(Marine) Soulevé en vagues fortes, en parlant de la mer.",Substantif de l’adjectif : personne présentant une corpulence certaine.,"(Familier) Riche, notable.",(Familier) Nom générique amical.,Partie principale d’une chose.,(Construction) Poutre de charpente dont deux dimensions sont égales.,La partie la plus forte en nombre.,Ce qu’il y a de principal et de plus considérable.,"Commerce dans lequel on ne vend que par grandes quantités, par opposition au commerce de détail.","Dans le département du Nord, houille en gros morceaux.","(Reliure) Cahier de seize pages, dans la feuille in-douze.","Revenu fixe d’une cure, par opposition au casuel.","Revenu principal qu’un chanoine tire de sa prébende, par opposition à distribution manuelle.",(Droit) Taxe que l’on payait aux fermiers des aides pour chaque muid de vin que l’on vendait en gros.,"(Textile) Étoffe à effet de côtes. Le nom est généralement complété de son lieu supposé de fabrication : gros de Tours, de Lyon, etc.",(Vieilli) Droit que l’on payait aux fermiers des aides pour chaque muid de vin que l’on vendait en gros.,"Noms de certaines étoffes de soie que l’on faisait spécialement à Naples, à Tours, et qui étaient un peu plus fortes que le taffetas ordinaire (gros de Naples, gros de Tours) .","(Archaïsme) (Métrologie) Anciennement, la cent-vingt-huitième partie de la livre, ou la huitième partie d’une once.","(Archaïsme) (Numismatique) Ancienne monnaie en argent, de valeur variable.",D’une manière grosse.,Beaucoup.,"Cela coûte gros : Cela coûte beaucoup (locution née pendant la révolution, dit Mme. de Genlis, Mémoires, tome V, p. 91).",Dans des dimensions relativement considérables.,"(Numismatique) Gros, sorte de monnaie."
17,18,mauvais,252.69,7,aisuamv,Défavorable ; qui cause une impression défavorable.,"Vicieux, défectueux, en parlant d’une chose concrète ou abstraite.","Nuisible, incommode, qui cause du mal. Qui doit être évité.","Sinistre, funeste, qui fait craindre quelque mal.",Qui est enclin à faire du mal (en parlant d’une personne).,Qui n’a pas les qualités qu’il devrait avoir,Qui n’a pas les qualités qu’il doit avoir.,"Qui est malicieux, épigrammatique, médisant.","(Avec la négation) Signifie assez ou très bon, selon le ton qu’on y donne.","Pas bon, pas bien.",Ce qu’il y a de mauvais dans la chose ou dans la personne dont il s’agit.,(Quelquefois) Personne peu douée.,"(Quelquefois) Personne méchante, agressive, prête à causer du désordre.",,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,heureux,248.45,7,ehruxue,"Qui jouit du bonheur, qui possède ce qui peut le rendre content.","Se dit la condition, de la situation, de la vie de celui qui est heureux.",Favorisé par la vie ou par son sort.,"Qui rend fortuné, qui procure du plaisir ou qui est favorable et avantageux.","Qui annonce de la prospérité, qui promet de la bonne fortune, ou qui prévient favorablement.","Choses sujettes à quelque danger, lorsqu’elles arrivent sans accident.",Se dit d’une chute ou de quelque autre chose de fâcheux qui n’a pas eu de mauvaise suite.,"(Dans une acception plus étendue) Qui est bon, excellent, distingué ou rare en son genre.",(Au pluriel) Personnes heureuses.,"On dit également, dans le langage de la chaire : les heureux du siècle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,important,229.36,9,rimtpnaot,"Qui importe ; qui est majeur, conséquent, considérable ou d’un grand intérêt.","Influent, en parlant d'une personne qui jouit d’une certaine autorité, d’un grand crédit.",Essentiel.,"Celui ou celle qui cherche à donner aux autres et qui a soi-même une opinion exagérée de sa qualité, de son mérite, de son crédit.",(Histoire) (France) (Péjoratif) Aristocrate partisan de la régente Anne d'Autriche.,Participe présent du verbe importer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,joli,226.45,4,oilj,"Qui a de la grâce, de l’agrément. — Note :  Tend à se dire de ce qui est petit en son espèce.",(Figuré) Qui plaît par la gentillesse.,(Familier) Qui est plaisant.,(Familier) Qui est avantageux.,"(Ironique) (Familier) Se dit d’une personne ou d’une chose déplaisante, ridicule, pénible, etc.",État de ce qui est joli.,Combien.,(Anatomie) Sang.,"Progéniture, ceux qui sont dans la même famille.",Traits.,Plaie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,meilleur,221.17,8,riumllee,"Comparatif de bon. Qui est d’un degré supérieur à bon, qui vaut plus que la personne ou la chose à laquelle on le compare.","Précédé d’un déterminant défini comme l’article défini le, superlatif de bon signifiant qui est au-dessus de tout, dans son genre, pour la bonté, l’utilité.","Qui est le mieux placé, le premier ; qui est au maximum, au top",(Au singulier) La meilleure partie d’une chose ou d’un être.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,nouveau,209.45,7,vonueua,"(Objectivement) Qui n’existait pas auparavant, avant telle date donnée, avec rien de pareil ni de comparable.",(Subjectivement) Que l’on n’avait jamais vu auparavant.,"Qui tire de son caractère récent une valeur de création, d’invention, un sentiment de nouveauté intrinsèque.",Nouveau pour quelqu’un ; qui était jusqu’ici inconnu de lui ; dont il n’a pas l’habitude.,"(Œnologie) En parlant d’un vin : ayant subi une très courte vinification, et consommé moins d’un an après la récolte.",(Pour les personnes) Qui n’a pas d’expérience ou d’habitude ; sans ancienneté.,"Autre, qui succède à un moment donné à un être ou à une chose de même ordre.","Ressemblant, semblable, en conformité, dans une suite temporelle, avec une autre personne ou une autre chose.","De plus, supplémentaire.","(Une personne) Celui, celle qui vient d’arriver au collège, dans un atelier, dans une compagnie.",Neuf.,(Au singulier) Changement.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,plein,208.75,5,nelip,Qui contient tout ce qu’il est capable de contenir ; il est opposé à vide.,(Par hyperbole) Qui contient une grande quantité.,(Élevage) (Au féminin) Qualifie un animal en gestation.,Qui abonde en quelque chose que ce soit.,"Qui est gras, replet, rebondi.","Qui est entier, complet.","(Figuré) Qui est entier, complet, absolu.","Se construit souvent avec la préposition en et sert à former différentes locutions adverbiales de lieu et de temps, qui signifient « au milieu de », mais qui ne servent véritablement qu’à donner plus de force et d’expression à ce qu’on dit.","Avec les prépositions à et de, il sert à former plusieurs locutions adverbiales qui marquent l’intensité, l’abondance, le haut degré de la chose dont il s’agit.",(Figuré) (Familier) Ivre.,"Complètement, entièrement vers la direction indiquée.","(Philosophie) Espace que l’on suppose entièrement occupé par la matière, par opposition au vide.",État de ce qui est plein.,Marée haute.,Pleine lune.,Partie pleine de quelque chose.,"(En particulier) Le massif d’un mur, la partie où il n’y a ni portes ni fenêtres.","(Architecture) Les parties solides, continues d’une construction, par opposition aux vides, qui sont les parties ajourées.","(Calligraphie) Partie d’une lettre, d’un caractère d’écriture ou d’imprimerie, qui est formée d’un trait plus gros, plus large que le reste. Il est opposé à délié.","(Familier) Capacité totale du réservoir de carburant d'un véhicule à moteur, ou de tout autre contenant.",Autant que la chose dont on parle peut en contenir.,,,,,,,,,,,,,,,,,,
24,25,cher,205.75,4,echr,"Qui est chéri, tendrement aimé, auquel on tient beaucoup.",Auquel on attache une grande importance.,Formule de politesse.,  Qui a un prix élevé ; qui est coûteux.,Dont le prix est plus haut que les autres.,À un prix élevé.,Au prix de grands sacrifices.,(Figuré) Se dit pour faire entendre qu’on se vengera de quelqu’un.,(Figuré) Se bien défendre avant de succomber.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,possible,201.41,8,pilbsseo,Qui peut être.,"Faisable, réalisable, qui peut se faire.",Éventuel.,Qui répond à ce que l'on peut attendre ou souhaiter.,Ce qui est en son pouvoir.,Ce qui est potentiel.,"(Vieilli) Possiblement, peut-être.","(Superlatif + possible ; aussi … que possible ; autant … que possible) Au maximum possible, souvent avec un effort maximum. Note :  Ce mot reste au singulier même après un nom ou un adjectif au pluriel car il ne s’y rapporte pas ; il est en revanche lié à la marque du superlatif.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,gentil,192.64,6,tlenig,"Agréable, charmant, mignon, aimable. Qui a une certaine grâce, un certain agrément délicat.","Sage, tranquille.","Coquet, important.",(Désuet) Noble. (XVIe siècle),"(Ironique) (Familier) Qui est bête, simplet.","(Ironique) Vous faites là un gentil personnage, un gentil métier : vous jouez là un rôle peu sympathique ; (Figuré) Vous agissez comme un traître, un délateur, une maquerelle, un proxénète, etc .",(Ironique) Qualifie celui dont on désapprouve l’impertinence ou la sottise.,"Personnage d’une œuvre de fiction qui incarne le bien, par opposition au méchant qui fait le mal.","(Religion) Non-juif, se dit dans le Nouveau Testament indifféremment des premiers chrétiens non-juifs et de l’ensemble des païens. Note :  Employé surtout au pluriel.",(Par extension) Tout incroyant par rapport à telle ou telle religion.  Référence nécessaire,Païen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,nouvelle,191.15,8,lolvneeu,"(Littérature) Genre littéraire basé sur un récit de fiction habituellement court, en prose, centré sur un seul événement, laissant peu de répit au lecteur et dont la chute est souvent surprenante.",Fait nouveau dont on est informé ; annonce d’une chose arrivée récemment.,"(En particulier) Information donnée par un média (journal, radio, télévision, etc.)",Renseignement sur l’état d’une personne ou d’une chose dont on n’était pas informé depuis quelque temps.,Féminin singulier de l’adjectif nouveau.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,content,178.94,7,eoctnnt,"Satisfait, heureux.","S’estimant beaucoup, au-dessus de son mérite.",Ne désirant rien de plus ou de mieux.,Toute la quantité que l’on désire.,Troisième personne du pluriel de l’indicatif présent de conter.,Troisième personne du pluriel du subjonctif présent de conter.,"(Souvent réflexif) Satisfaire, contenter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,pauvre,178.03,6,pvreau,Qui est dans la pauvreté ; qui ne dispose pas de ressources suffisantes.,Qui dénote la pauvreté.,"Qui ne renferme, ne dispose que de peu de quelque chose.","Qui inspire la pitié, la compassion.",Qui inspire le mépris.,"(Midi de la France) Mort, décédé.",Sans variété ; sans subtilité.,Personne qui vit dans la misère.,(Figuré) Personne à qui il manque une qualité.,(Par extension) Personne qui n’a pas de quoi subsister honorablement selon sa condition.,"(Provence, Gard) Exprime la surprise, généralement négative ; s’utilise habituellement précédé de oh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,long,164.02,4,gnol,"Qualifie des objets considérés dans leur dimension d’une extrémité à l’autre, par opposition à court.",(Spécialement) (Anatomie) Qualifie les os qui sont ainsi dimensionnés.,Qualifie une surface considérée dans sa plus grande dimension et par opposition à large.,Qui dure longtemps.,"(En particulier) Qualifie des ouvrages de l’esprit, soit que l’on en considère l’étendue, soit qu’on ait égard au temps nécessaire pour les lire, les réciter, les entendre.",Qui est lent ou tardif.,(Grammaire anglaise) Se dit d’un adjectif comportant trois syllabes (ou deux s’il ne se termine pas par le suffixe adjectival -y).,"Longueur, par opposition à largeur.","(Chine) (Arts) Dragon chinois, en particulier celui à cinq griffes, symbole de l’empereur.","D’une manière longue, avec quelque chose de long.",(Familier) Beaucoup.,(Anatomie) Poumon.,Désirer ardemment.,S'ennuyer (de).,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,propre,163.24,6,perrop,Qui est particulier à une personne ou à une chose (exclusivement ou non).,Réel par opposition à figuré ou apparent.,Exact.,Même ; semblable.,"Apte, bon.",Convenable à quelqu’un ou à quelque chose.,Nettoyé ; lavé ; bien tenu.,Se dit d’un enfant qui contrôle ses fonctions naturelles.,(Figuré) Clair.,(Mathématiques) (Topologie) Se dit d’une application entre espaces topologiques telle que la préimage de toute partie compacte soit compacte.,(Mathématiques) (Théorie des ensembles) Se dit d'un sous-ensemble différent de l'ensemble dans lequel il est inclus.,Qualité particulière qui désigne un sujet et qui le distingue de tous les autres.,"Ce qui convient particulièrement à chaque profession, à chaque caractère, à chaque âge, etc.",Ce qui appartient en particulier à quelqu’un.,"(Droit) Par élision de bien propre. Se dit par rapport à la communauté conjugale, des biens du mari ou de la femme qui n’entrent pas dans la communauté de biens.",(Liturgie catholique) Série des offices spéciaux.,(Grammaire) Par élision de sens propre. Se dit par rapport au sens figuré → voir au propre.,Proprement.,,,,,,,,,,,,,,,,,,,,,
32,33,prochain,160.27,8,aphorcni,"Voisin immédiat, suivant, qui est le premier à se présenter dans l’espace ou le temps.",Futur.,(Populaire) Détermine un jour de la semaine suivante[1].,(Théologie) Qui peut porter facilement au péché.,(Religion) Chaque être humain en particulier ; tous les êtres humains ensemble.,Suivant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
